Processed by,Date,ID #,,Site Code,Gear,FL,FL (Label if different from data sheet),Weight,Label Weight (If does not match weight on Inventory),Fullness,Digestion,Damp wt,Empty wt,Prey taxa,LH,Count,Wt,Stomach broken/damaged,Comments,REF,QA,Inventory
as,2/16/2012,2012-004CHNF,F,BL-5,Beach Seine,43,,0.4765,,4,5,0.0206,0.0134,Aranae,,1,0.0030,,,Arachnida,bo,White 2/4
as,2/16/2012,2012-004CHNF,F,BL-5,Beach Seine,43,,0.4765,,4,5,0.0206,0.0134,Chironomidae,larvae,1,0.0001,,,Diptera,bo,White 2/4
as,2/16/2012,2012-004CHNF,F,BL-5,Beach Seine,43,,0.4765,,4,5,0.0206,0.0134,Animal Matter,,,0.0006,,,Animal Matter,bo,White 2/4
as,2/16/2012,2012-004CHNF,F,BL-5,Beach Seine,43,,0.4765,,4,5,0.0206,0.0134,Cyclopoida,,1,0.0001,,,Copepoda,bo,White 2/4
as,3/14/2012,2012-012CHNF,F,STTD,RSTR,64,,2.1736,,3,2,0.0696,0.0373,Animal Matter,,,0.0062,, ,Animal Matter,bo,White 2/4
as,3/14/2012,2012-012CHNF,F,STTD,RSTR,64,,2.1736,,3,2,0.0696,0.0373,Chironomidae,adult,1,0.0008,,thoraces,Diptera,bo,White 2/4
as,3/14/2012,2012-012CHNF,F,STTD,RSTR,64,,2.1736,,3,2,0.0696,0.0373,Daphnia sp,,6,0.0007,,,Cladocera,bo,White 2/4
as,3/14/2012,2012-012CHNF,F,STTD,RSTR,64,,2.1736,,3,2,0.0696,0.0373,Daphnia sp,ephippia,5,0.0008,,,Cladocera,bo,White 2/4
as,3/14/2012,2012-021CHNF,F,STTD,RSTR,67,,2.6445,,1,1,0.0757,0.0646,Animal Matter,,,0.0000,,mammal hair,Animal Matter,bo,White 2/4
as,3/15/2012,2012-018CHNF,F,STTD,RSTR,55,,1.2983,,5,3,0.0506,0.0205,Animal Matter,,,0.0084,,,Animal Matter,bo,White 2/4
as,3/15/2012,2012-018CHNF,F,STTD,RSTR,55,,1.2983,,5,3,0.0506,0.0205,Cladocera,,26,0.0051,,,Cladocera,bo,White 2/4
as,3/27/2012,2012-031CHNF,F,BL-5,Beach Seine,48,,0.7048,,6,5,0.0591,0.0120,Animal Matter,,,0.0017,,,Animal Matter,bo,White 2/4
as,3/27/2012,2012-031CHNF,F,BL-5,Beach Seine,48,,0.7048,,6,5,0.0591,0.0120,Gammaridea,,8,0.0070,,,Amphipoda,bo,White 2/4
as,3/27/2012,2012-031CHNF,F,BL-5,Beach Seine,48,,0.7048,,6,5,0.0591,0.0120,Chironomidae,emergent,11,0.0035,,,Diptera,bo,White 2/4
as,3/27/2012,2012-031CHNF,F,BL-5,Beach Seine,48,,0.7048,,6,5,0.0591,0.0120,Chironomidae,pupa,3,0.0005,,,Diptera,bo,White 2/4
as,3/27/2012,2012-031CHNF,F,BL-5,Beach Seine,48,,0.7048,,6,5,0.0591,0.0120,Aphididae,,11,0.0011,,,Hemiptera,bo,White 2/4
as,3/27/2012,2012-031CHNF,F,BL-5,Beach Seine,48,,0.7048,,6,5,0.0591,0.0120,Daphniidae,,27,0.0018,,,Cladocera,bo,White 2/4
as,3/27/2012,2012-031CHNF,F,BL-5,Beach Seine,48,,0.7048,,6,5,0.0591,0.0120,Chydoridae,,1,0.0000,,,Cladocera,bo,White 2/4
as,3/27/2012,2012-031CHNF,F,BL-5,Beach Seine,48,,0.7048,,6,5,0.0591,0.0120,Thysanoptera,adult,1,0.0000,,,Thysanoptera,bo,White 2/4
as,3/27/2012,2012-031CHNF,F,BL-5,Beach Seine,48,,0.7048,,6,5,0.0591,0.0120,Psyllidae,adult,2,0.0012,,,Hemiptera,bo,White 2/4
as,3/27/2012,2012-031CHNF,F,BL-5,Beach Seine,48,,0.7048,,6,5,0.0591,0.0120,Corophiidae,,7,0.0008,,,Amphipoda,bo,White 2/4
as,3/27/2012,2012-031CHNF,F,BL-5,Beach Seine,48,,0.7048,,6,5,0.0591,0.0120,Cyclopoida,,1,0.0000,,,Copepoda,bo,White 2/4
as,3/27/2012,2012-031CHNF,F,BL-5,Beach Seine,48,,0.7048,,6,5,0.0591,0.0120,Calanoida,,4,0.0001,,,Copepoda,bo,White 2/4
as,3/27/2012,2012-031CHNF,F,BL-5,Beach Seine,48,,0.7048,,6,5,0.0591,0.0120,Hymenoptera,adult,1,0.0000,,,Hymenoptera,bo,White 2/4
as,3/27/2012,2012-031CHNF,F,BL-5,Beach Seine,48,,0.7048,,6,5,0.0591,0.0120,Sminthuridae,,1,0.0002,,,Collembola,bo,White 2/4
as,3/27/2012,2012-031CHNF,F,BL-5,Beach Seine,48,,0.7048,,6,5,0.0591,0.0120,Daphnia sp,,20,0.0013,,,Cladocera,bo,White 2/4
as,3/27/2012,2012-031CHNF,F,BL-5,Beach Seine,48,,0.7048,,6,5,0.0591,0.0120,Simocephalus sp,,4,0.0003,,,Cladocera,bo,White 2/4
as,3/27/2012,2012-032CHNF,F,BL-5,Beach Seine,49,,0.9948,,5,5,0.0798,0.0242,Animal Matter,,,0.0024,,,Animal Matter,bo,White 2/4
as,3/27/2012,2012-032CHNF,F,BL-5,Beach Seine,49,,0.9948,,5,5,0.0798,0.0242,Chironomidae,pupa,2,0.0040,,,Diptera,bo,White 2/4
as,3/27/2012,2012-032CHNF,F,BL-5,Beach Seine,49,,0.9948,,5,5,0.0798,0.0242,Chironomidae,emergent,11,0.0026,,,Diptera,bo,White 2/4
as,3/27/2012,2012-032CHNF,F,BL-5,Beach Seine,49,,0.9948,,5,5,0.0798,0.0242,Gammaridea,,9,0.0132,,,Amphipoda,bo,White 2/4
as,3/27/2012,2012-032CHNF,F,BL-5,Beach Seine,49,,0.9948,,5,5,0.0798,0.0242,Daphnia sp,,29,0.0028,,,Cladocera,bo,White 2/4
as,3/27/2012,2012-032CHNF,F,BL-5,Beach Seine,49,,0.9948,,5,5,0.0798,0.0242,Daphniidae,,3,0.0003,,,Cladocera,bo,White 2/4
as,3/27/2012,2012-032CHNF,F,BL-5,Beach Seine,49,,0.9948,,5,5,0.0798,0.0242,Calanoida,,9,0.0007,,,Copepoda,bo,White 2/4
as,3/27/2012,2012-032CHNF,F,BL-5,Beach Seine,49,,0.9948,,5,5,0.0798,0.0242,Trichoptera,adult,1,0.0002,,,Trichoptera,bo,White 2/4
as,3/27/2012,2012-032CHNF,F,BL-5,Beach Seine,49,,0.9948,,5,5,0.0798,0.0242,Psyllidae,adult,1,0.0007,,,Hemiptera,bo,White 2/4
as,3/27/2012,2012-032CHNF,F,BL-5,Beach Seine,49,,0.9948,,5,5,0.0798,0.0242,Chironomidae,larvae,2,0.0001,,,Diptera,bo,White 2/4
as,3/27/2012,2012-032CHNF,F,BL-5,Beach Seine,49,,0.9948,,5,5,0.0798,0.0242,Corophiidae,,9,0.0017,,,Amphipoda,bo,White 2/4
as,3/27/2012,2012-032CHNF,F,BL-5,Beach Seine,49,,0.9948,,5,5,0.0798,0.0242,Collembola,,1,0.0002,,,Collembola,bo,White 2/4
as,3/27/2012,2012-032CHNF,F,BL-5,Beach Seine,49,,0.9948,,5,5,0.0798,0.0242,Cyclopoida,,4,0.0002,,,Copepoda,bo,White 2/4
as,3/27/2012,2012-032CHNF,F,BL-5,Beach Seine,49,,0.9948,,5,5,0.0798,0.0242,Chydoridae,,1,0.0000,,,Cladocera,bo,White 2/4
as,3/13/2012,2012-009CHNF,F,STTD,RSTR,61,,1.7899,,3,2,0.0570,0.0441,Animal Matter,,,0.0033,,,Animal Matter,bo,White 2/4
as,3/13/2012,2012-009CHNF,F,STTD,RSTR,61,,1.7899,,3,2,0.0570,0.0441,Daphniidae,ephippia,1,0.0002,,,Cladocera,bo,White 2/4
as,3/13/2012,2012-009CHNF,F,STTD,RSTR,61,,1.7899,,3,2,0.0570,0.0441,Cladocera,,1,0.0001,,,Cladocera,bo,White 2/4
as,3/13/2012,2012-009CHNF,F,STTD,RSTR,61,,1.7899,,3,2,0.0570,0.0441,Chironomidae,emergent,1,0.0009,,,Diptera,bo,White 2/4
as,3/15/2012,2012-003CHNS,S,STTD,RSTR,72,,2.7410,,1,1,0.0728,,Empty,,,,,,n/a,bo,White 2/4
as,3/28/2012,2012-033CHNF,F,STTD,RSTR,71,,2.6913,,4,4,0.0740,0.0573,Animal Matter,,,0.0006,,,Animal Matter,bo,White 2/4
as,3/28/2012,2012-033CHNF,F,STTD,RSTR,71,,2.6913,,4,4,0.0740,0.0573,Gammaridea,,1,0.0017,,,Amphipoda,bo,White 2/4
as,3/28/2012,2012-033CHNF,F,STTD,RSTR,71,,2.6913,,4,4,0.0740,0.0573,Aphididae,adult,2,0.0004,,winged,Hemiptera,bo,White 2/4
as,3/28/2012,2012-033CHNF,F,STTD,RSTR,71,,2.6913,,4,4,0.0740,0.0573,Psyllidae,adult,1,0.0002,,,Hemiptera,bo,White 2/4
as,3/28/2012,2012-033CHNF,F,STTD,RSTR,71,,2.6913,,4,4,0.0740,0.0573,Cladocera,,4,0.0009,,,Cladocera,bo,White 2/4
as,3/27/2012,2012-030CHNF,F,STTD,RSTR,70,,3.0533,,5,3,0.0974,0.0602,Animal Matter,,,0.0118,,"insect parts, legs/thoraces",Animal Matter,bo,White 2/4
as,3/27/2012,2012-030CHNF,F,STTD,RSTR,70,,3.0533,,5,3,0.0974,0.0602,Plant Matter,,,0.0001,,,Plant Matter,bo,White 2/4
as,3/27/2012,2012-030CHNF,F,STTD,RSTR,70,,3.0533,,5,3,0.0974,0.0602,Chironomidae,adult,3,0.0002,,thoraces,Diptera,bo,White 2/4
as,3/27/2012,2012-030CHNF,F,STTD,RSTR,70,,3.0533,,5,3,0.0974,0.0602,Tipulidae,adult,1,0.0025,,,Diptera,bo,White 2/4
as,3/27/2012,2012-030CHNF,F,STTD,RSTR,70,,3.0533,,5,3,0.0974,0.0602,Aphididae,,7,0.0009,,mostly thoraces,Hemiptera,bo,White 2/4
as,3/27/2012,2012-026CHNS,S,STTD,RSTR,73,,3.0620,,5,2,0.1425,0.0651,Animal Matter,,,0.0052,,,Animal Matter,bo,White 2/4
as,3/27/2012,2012-026CHNS,S,STTD,RSTR,73,,3.0620,,5,2,0.1425,0.0651,Aphididae,,22,0.0022,,mostly thoraces,Hemiptera,bo,White 2/4
as,3/27/2012,2012-026CHNS,S,STTD,RSTR,73,,3.0620,,5,2,0.1425,0.0651,Hymenoptera,adult,3,0.0010,,,Hymenoptera,bo,White 2/4
as,3/27/2012,2012-026CHNS,S,STTD,RSTR,73,,3.0620,,5,2,0.1425,0.0651,Formicidae,adult,1,0.0022,,,Hymenoptera,bo,White 2/4
as,3/27/2012,2012-026CHNS,S,STTD,RSTR,73,,3.0620,,5,2,0.1425,0.0651,Chironomidae,adult,7,0.0011,,,Diptera,bo,White 2/4
as,3/27/2012,2012-026CHNS,S,STTD,RSTR,73,,3.0620,,5,2,0.1425,0.0651,Hypogastruridae/Onychiuridae,,6,0.0000,,,Collembola,bo,White 2/4
as,3/27/2012,2012-026CHNS,S,STTD,RSTR,73,,3.0620,,5,2,0.1425,0.0651,Psyllidae,adult,1,0.0001,,,Hemiptera,bo,White 2/4
as,3/30/2012,2012-036CHNF,F,STTD,RSTR,68,,2.9644,,4,3,0.0901,0.0597,Animal Matter,,,0.0058,,,Animal Matter,bo,White 2/4
as,3/30/2012,2012-036CHNF,F,STTD,RSTR,68,,2.9644,,4,3,0.0901,0.0597,Daphnia sp,ephippia,4,0.0003,,,Cladocera,bo,White 2/4
