Processed by,Date,ID #,FL,FL (Label if different from data sheet),Weight,Weight in field,Fullness,Digestion,Damp wt,Empty wt,Prey taxa,,LH,Count,Wt,Stomach broken/damaged,Comments,REF,QA,Inventory,Total Contents Wt
as,2/12/2016,2015-052S,42,,0.2495,0.69,,,,,Pseudodiaptomus forbesi,Calanoida,male,108,0.0021,,,,,,0.0032
as,2/12/2016,2015-052S,42,,0.2495,0.69,,,,,Pseudodiaptomus forbesi,Calanoida,female,47,0.001,,,,,,
as,2/12/2016,2015-051S,41,,0.2561,0.66,4,5,,,Ceriodaphnia sp,Cladocera,unidentified,2,0,,,,,,
as,2/12/2016,2015-051S,41,,0.2561,0.66,4,5,,,Pseudodiaptomus forbesi,Calanoida,female,12,0,,,,,,
as,2/12/2016,2015-051S,41,,0.2561,0.66,4,5,,,Pseudodiaptomus forbesi,Calanoida,male,19,0.0002,,,,,,
as,2/12/2016,2015-051S,41,,0.2561,0.66,4,5,,,Pseudodiaptomus forbesi,Calanoida,copepodid,20,0,,,,,,
as,2/12/2016,2015-050S,38,,0.2012,0.52,5,5,,,Pseudodiaptomus forbesi,Calanoida,female,30,0.0005,,,,,,
as,2/12/2016,2015-050S,38,,0.2012,0.52,5,5,,,Pseudodiaptomus forbesi,Calanoida,male,26,0.0003,,,,,,
as,2/12/2016,2015-050S,38,,0.2012,0.52,5,5,,,Pseudodiaptomus forbesi,Calanoida,copepodid,8,0,,,,,,
as,2/12/2016,2015-050S,38,,0.2012,0.52,5,5,,,Unidentified matter,,,,0,,,,,,
as,2/12/2016,2015-049S,37,,0.1619,0.43,6,6,,,Ceriodaphnia sp,Cladocera,unidentified,2,0,,,,,,
as,2/12/2016,2015-049S,37,,0.1619,0.43,6,6,,,Pseudodiaptomus forbesi,Calanoida,copepodid,34,0.0002,,,,,,
as,2/12/2016,2015-049S,37,,0.1619,0.43,6,6,,,Pseudodiaptomus forbesi,Calanoida,female,11,0.0001,,,,,,
as,2/12/2016,2015-049S,37,,0.1619,0.43,6,6,,,Pseudodiaptomus forbesi,Calanoida,male,44,0.0006,,,,,,
as,2/12/2016,2015-048S,30,,0.088,0.23,1,1,,,Empty,,,,,,,,,,
as,2/12/2016,2015-047S,42,,0.2218,0.55,4,6,0.0049,,Pseudodiaptomus forbesi,Calanoida,male,12,0.0001,,,,,,
