"","SampleID","SampleDate","SampleTime","StationCode","SampleMethod","OrganismCode","Race","ForkLength","Weight","SampleDate.diet","SampleTime.diet","StationCode.diet","Gear.diet","Race.diet","ForkLength.diet","ForkLengthLabel","Weight.diet","WeightLabel","Fullness","Digestion","WeightStomachFull","WeightStomachEmpty","PreyTaxa","LifeStage","HigherTaxa","PreyCount","WeightPrey","StomachBrokenDamaged","StomachComments","ProcessedBy","QAQCBy","FishTagID"
"1","3627","03/26/2010","10:30:00","STTD","RSTR","DSM","n/p","74","","06/24/2010","","","","","35","","0.1011","","1","","0.0026","","Empty","","","","","","","as","","2010-004S"
"2","3730","06/02/2010","12:45:00","STTD","RSTR","DSM","n/p","34","","06/02/2010","","","","","34","","0.1179","","broken","5","","0.0025","Ceriodaphnia sp","unidentified","Cladocera","4","0","","","as","","2010-006S"
"3","3730","06/02/2010","12:45:00","STTD","RSTR","DSM","n/p","34","","06/02/2010","","","","","34","","0.1179","","broken","5","","0.0025","Sinocalanus doerrii","adult","Calanoida","4","0","","","as","","2010-006S"
"4","3730","06/02/2010","12:45:00","STTD","RSTR","DSM","n/p","34","","06/02/2010","","","","","34","","0.1179","","broken","5","","0.0025","Diaptomidae","adult","Calanoida","4","2e-04","","","as","","2010-006S"
"5","3730","06/02/2010","12:45:00","STTD","RSTR","DSM","n/p","34","","06/02/2010","","","","","34","","0.1179","","broken","5","","0.0025","Daphnia sp","unidentified","Cladocera","3","1e-04","","","as","","2010-006S"
"6","3730","06/02/2010","12:45:00","STTD","RSTR","DSM","n/p","34","","06/02/2010","","","","","34","","0.1179","","broken","5","","0.0025","Acanthocyclops sp","adult","Cyclopoida","21","2e-04","","","as","","2010-006S"
"7","3730","06/02/2010","12:45:00","STTD","RSTR","DSM","n/p","34","","06/02/2010","","","","","34","","0.1179","","broken","5","","0.0025","Cyclopoida","copepodid","Cyclopoida","7","0","","","as","","2010-006S"
"8","3725","06/09/2010","10:30:00","STTD","RSTR","DSM","n/p","37","","06/09/2010","","","","","37","","0.2157","","broken","5","broken","0.0018","Pseudodiaptomus forbesi","female","Calanoida","22","7e-04","","","as","","2010-008S"
"9","3725","06/09/2010","10:30:00","STTD","RSTR","DSM","n/p","37","","06/09/2010","","","","","37","","0.2157","","broken","5","broken","0.0018","Pseudodiaptomus forbesi","male","Calanoida","8","1e-04","","","as","","2010-008S"
"10","3725","06/09/2010","10:30:00","STTD","RSTR","DSM","n/p","37","","06/09/2010","","","","","37","","0.2157","","broken","5","broken","0.0018","Acanthocyclops sp","adult","Cyclopoida","12","1e-04","","","as","","2010-008S"
"11","3725","06/09/2010","10:30:00","STTD","RSTR","DSM","n/p","37","","06/09/2010","","","","","37","","0.2157","","broken","5","broken","0.0018","Diacyclops sp","adult","Cyclopoida","2","0","","","as","","2010-008S"
"12","3725","06/09/2010","10:30:00","STTD","RSTR","DSM","n/p","37","","06/09/2010","","","","","37","","0.2157","","broken","5","broken","0.0018","Cyclopoida","copepodid","Cyclopoida","2","0","","","as","","2010-008S"
"13","3725","06/09/2010","10:30:00","STTD","RSTR","DSM","n/p","37","","06/09/2010","","","","","37","","0.2157","","broken","5","broken","0.0018","Sinocalanus doerrii","adult","Calanoida","26","6e-04","","","as","","2010-008S"
"14","3725","06/09/2010","10:30:00","STTD","RSTR","DSM","n/p","37","","06/09/2010","","","","","37","","0.2157","","broken","5","broken","0.0018","Diaptomidae","adult","Calanoida","11","2e-04","","","as","","2010-008S"
"15","3725","06/09/2010","10:30:00","STTD","RSTR","DSM","n/p","37","","06/09/2010","","","","","37","","0.2157","","broken","5","broken","0.0018","Unidentified matter","","","","0","","","as","","2010-008S"
"16","4780","06/27/2011","12:15:00","BL5","BSEIN","DSM","n/p","27","","06/27/2011","","","","","28","","0.0422","","broken","5","broken","","Pseudodiaptomus forbesi","copepodid","Calanoida","10","0","","","as","","2011-005S"
"17","4780","06/27/2011","12:15:00","BL5","BSEIN","DSM","n/p","27","","06/27/2011","","","","","28","","0.0422","","broken","5","broken","","Pseudodiaptomus forbesi","female","Calanoida","5","1e-04","","","as","","2011-005S"
"18","4780","06/27/2011","12:15:00","BL5","BSEIN","DSM","n/p","27","","06/27/2011","","","","","28","","0.0422","","broken","5","broken","","Acanthocyclops sp","adult","Cyclopoida","5","0","","","as","","2011-005S"
"19","4780","06/27/2011","12:15:00","BL5","BSEIN","DSM","n/p","27","","06/27/2011","","","","","28","","0.0422","","broken","5","broken","","Cyclopoida","copepodid","Cyclopoida","3","0","","","as","","2011-005S"
"20","4780","06/27/2011","12:15:00","BL5","BSEIN","DSM","n/p","27","","06/27/2011","","","","","28","","0.0422","","broken","5","broken","","Daphniidae","unidentified","Cladocera","7","0","","","as","","2011-005S"
"21","4780","06/27/2011","12:15:00","BL5","BSEIN","DSM","n/p","30","","06/27/2011","","","","","30","","0.0761","","broken","4","broken","0.0014","Pseudodiaptomus forbesi","copepodid","Calanoida","12","0","","","as","","2011-006S"
"22","4780","06/27/2011","12:15:00","BL5","BSEIN","DSM","n/p","30","","06/27/2011","","","","","30","","0.0761","","broken","4","broken","0.0014","Pseudodiaptomus forbesi","female","Calanoida","7","0","","","as","","2011-006S"
"23","4780","06/27/2011","12:15:00","BL5","BSEIN","DSM","n/p","30","","06/27/2011","","","","","30","","0.0761","","broken","4","broken","0.0014","Pseudodiaptomus forbesi","male","Calanoida","2","0","","","as","","2011-006S"
"24","4780","06/27/2011","12:15:00","BL5","BSEIN","DSM","n/p","30","","06/27/2011","","","","","30","","0.0761","","broken","4","broken","0.0014","Daphnia sp","unidentified","Cladocera","5","0","","","as","","2011-006S"
"25","4780","06/27/2011","12:15:00","BL5","BSEIN","DSM","n/p","30","","06/27/2011","","","","","30","","0.0761","","broken","4","broken","0.0014","Diaptomidae","adult","Calanoida","1","0","","","as","","2011-006S"
"26","4780","06/27/2011","12:15:00","BL5","BSEIN","DSM","n/p","26","","06/27/2011","","","","","25","","0.0418","","3","4","0.0019","0.0011","Pseudodiaptomus forbesi","male","Calanoida","2","1e-04","","","as","","2011-007S"
"27","4780","06/27/2011","12:15:00","BL5","BSEIN","DSM","n/p","26","","06/27/2011","","","","","25","","0.0418","","3","4","0.0019","0.0011","Pseudodiaptomus forbesi","female","Calanoida","2","1e-04","","","as","","2011-007S"
"28","4780","06/27/2011","12:15:00","BL5","BSEIN","DSM","n/p","26","","06/27/2011","","","","","25","","0.0418","","3","4","0.0019","0.0011","Pseudodiaptomus forbesi","copepodid","Calanoida","1","0","","","as","","2011-007S"
"29","4780","06/27/2011","12:15:00","BL5","BSEIN","DSM","n/p","26","","06/27/2011","","","","","25","","0.0418","","3","4","0.0019","0.0011","Ceriodaphnia sp","unidentified","Cladocera","1","0","","","as","","2011-007S"
"30","4780","06/27/2011","12:15:00","BL5","BSEIN","DSM","n/p","26","","06/27/2011","","","","","25","","0.0418","","3","4","0.0019","0.0011","Daphnia sp","unidentified","Cladocera","3","1e-04","","","as","","2011-007S"
"31","4780","06/27/2011","12:15:00","BL5","BSEIN","DSM","n/p","26","","06/27/2011","","","","","25","","0.0418","","3","4","0.0019","0.0011","Daphniidae","unidentified","Cladocera","5","1e-04","","","as","","2011-007S"
"32","4780","06/27/2011","12:15:00","BL5","BSEIN","DSM","n/p","26","","06/27/2011","","","","","25","","0.0418","","3","4","0.0019","0.0011","Unidentified matter","","","","2e-04","","","as","","2011-007S"
"33","4145","06/29/2011","11:05:00","STTD","RSTR","DSM","n/p","32","","05/29/2011","","","","","32","","0.2161","","","","","","","","","","","broken, sample lost","","as","","2011-009S"
"34","4145","06/29/2011","11:05:00","STTD","RSTR","DSM","n/p","35","","06/29/2011","","","","","35","","0.1609","","6","4","0.0063","0.0023","Pseudodiaptomus forbesi","female","Calanoida","23","4e-04","","","as","","2011-010S"
"35","4145","06/29/2011","11:05:00","STTD","RSTR","DSM","n/p","35","","06/29/2011","","","","","35","","0.1609","","6","4","0.0063","0.0023","Pseudodiaptomus forbesi","male","Calanoida","29","6e-04","","","as","","2011-010S"
"36","4145","06/29/2011","11:05:00","STTD","RSTR","DSM","n/p","35","","06/29/2011","","","","","35","","0.1609","","6","4","0.0063","0.0023","Pseudodiaptomus forbesi","copepodid","Calanoida","12","0","","","as","","2011-010S"
