"","SampleID","SampleDate","SampleTime","StationCode","SamplingArea","SampleMethod","GearID","GearConditionCode","VegetationRank","TrapStatus","Rev.Counter","Region","SeineLength","SeineWidth","SeineDepth","VolumeSeined","HabitatType","SubstrateCode","FieldComments","DataCorrectionComments","NoCatch","OrganismCode","LowestTaxon","Parent","ForkLength","TotalLength","Weight","Sex","Spawning.Condition","MarkCode","Race","StageCode","Dead","CWTSample","Genetic.Sample","Direct.Take","Indirect.Take","FishTagID","Count","FishIDComments","CWT_TagCode","CWTComments","GeneticID1","Prob1","GeneticID2","Prob2","FishTagID2","SalmComments","numChrom","V.shape","GeneticID","qDS","qLFS","qWAG","GenotypeRun","FishTagID3","SmeltComments"
"1",1518,"06/10/1999","11:15:00","STTD","A0D82120386","RSTR","RSTR8","","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","25","","","","","None","n/p","n/p","Yes","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"2",1520,"06/17/1999","10:42:00","STTD","A0D82120386","RSTR","RSTR8","","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","30","","","","","None","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"3",1522,"06/23/1999","09:30:00","STTD","A0D82120386","RSTR","RSTR8","","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","30","","","","","None","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"4",1522,"06/23/1999","09:30:00","STTD","A0D82120386","RSTR","RSTR8","","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","29","","","","","None","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"5",1523,"06/25/1999","10:13:00","STTD","A0D82120386","RSTR","RSTR8","","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","29","","","","","None","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"6",1523,"06/25/1999","10:13:00","STTD","A0D82120386","RSTR","RSTR8","","","Check","","","","","","","","","","","N","AMS","sapidissima","Alosa","30","","","","","None","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"7",1524,"06/28/1999","09:56:00","STTD","A0D82120386","RSTR","RSTR8","","","Check","","","","","","","","","trap completely spun around, down lines crossed","","N","AMS","sapidissima","Alosa","31","","","","","None","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"8",1524,"06/28/1999","09:56:00","STTD","A0D82120386","RSTR","RSTR8","","","Check","","","","","","","","","trap completely spun around, down lines crossed","","N","AMS","sapidissima","Alosa","34","","","","","None","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
"9",1525,"06/30/1999","09:32:00","STTD","A0D82120386","RSTR","RSTR8","","","Check","","","","","","","","","trap way off kilter, log","","N","AMS","sapidissima","Alosa","29","","","","","None","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","3","","","","","","","","","","","","","","","","","",""
"10",1525,"06/30/1999","09:32:00","STTD","A0D82120386","RSTR","RSTR8","","","Check","","","","","","","","","trap way off kilter, log","","N","AMS","sapidissima","Alosa","30","","","","","None","n/p","n/p","No","FALSE","FALSE","FALSE","FALSE","","2","","","","","","","","","","","","","","","","","",""
