SampleID,SampleDate,SampleTime,StationCode,SamplingArea,SampleMethod,GearID,GearConditionCode,VegetationRank,TrapStatus,Rev.Counter,Region,SeineLength,SeineWidth,SeineDepth,VolumeSeined,HabitatType,SubstrateCode,FieldComments,DataCorrectionComments,OrganismCode,LowestTaxon,Parent,Count,FishIDComments
1281,2/1/1998,9:30:00,STTD,A0D82120386,RSTR,RSTR5,1,NA,Check,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TFS,petenense,Dorosoma,1,NA
1281,2/1/1998,9:30:00,STTD,A0D82120386,RSTR,RSTR5,1,NA,Check,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHN,tshawytscha,Oncorhynchus,246,NA
1281,2/1/1998,9:30:00,STTD,A0D82120386,RSTR,RSTR5,1,NA,Check,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BKB,melas,Ameiurus,1,NA
1281,2/1/1998,9:30:00,STTD,A0D82120386,RSTR,RSTR5,1,NA,Check,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SHM,bifasciatus,Tridentiger,1,NA
1282,2/2/1998,12:45:00,STTD,A0D82120386,RSTR,RSTR5,1,NA,Check,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TFS,petenense,Dorosoma,7,NA
1282,2/2/1998,12:45:00,STTD,A0D82120386,RSTR,RSTR5,1,NA,Check,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHN,tshawytscha,Oncorhynchus,75,NA
1284,2/4/1998,11:00:00,STTD,A0D82120386,RSTR,RSTR5,1,NA,Check,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHN,tshawytscha,Oncorhynchus,128,NA
1286,2/6/1998,10:07:00,STTD,A0D82120386,RSTR,RSTR5,1,NA,Check,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHN,tshawytscha,Oncorhynchus,134,NA
1288,2/10/1998,12:30:00,STTD,A0D82120386,RSTR,RSTR5,1,NA,Check,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHN,tshawytscha,Oncorhynchus,71,NA
1289,2/11/1998,10:35:00,STTD,A0D82120386,RSTR,RSTR5,1,NA,Check,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHN,tshawytscha,Oncorhynchus,188,NA
1290,2/13/1998,12:10:00,STTD,A0D82120386,RSTR,RSTR5,1,NA,Check,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAPM,grandis,Ptychocheilus,13,NA
