"","SampleID","SampleDate","SampleTime","StationCode","SamplingArea","SampleMethod","GearID","GearConditionCode","VegetationRank","TrapStatus","Rev.Counter","Region","SeineLength","SeineWidth","SeineDepth","VolumeSeined","HabitatType","SubstrateCode","FieldComments","DataCorrectionComments","OrganismCode","LowestTaxon","Parent","Count","FishIDComments"
"1",1185,1998-01-23,0000-01-01 11:43:00,"BL4","A0D82131385","FKTR","FKNT",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"2",1185,1998-01-23,0000-01-01 11:43:00,"BL4","A0D82131385","FKTR","FKNT",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"3",1185,1998-01-23,0000-01-01 11:43:00,"BL4","A0D82131385","FKTR","FKNT",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"4",2053,1998-01-23,0000-01-01 12:27:00,"YB","A0D83391379","FKTR","FKNT",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"5",2054,1998-01-23,0000-01-01 13:10:00,"YB","A0D83391379","FKTR","FKNT",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"6",2056,1998-01-23,0000-01-01 13:50:00,"YB","A0D83391379","FKTR","FKNT",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"7",1276,1998-01-27,0000-01-01 11:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"8",1276,1998-01-27,0000-01-01 11:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"9",1276,1998-01-27,0000-01-01 11:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"10",1276,1998-01-27,0000-01-01 11:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"11",1276,1998-01-27,0000-01-01 11:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"12",1276,1998-01-27,0000-01-01 11:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"13",1276,1998-01-27,0000-01-01 11:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"14",1278,1998-01-29,0000-01-01 11:30:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Pull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"15",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"16",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"17",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",4,NA
"18",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MQF","affinis","Gambusia",2,NA
"19",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"20",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"21",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",3,NA
"22",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"23",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"24",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",4,NA
"25",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",3,NA
"26",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",4,NA
"27",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",3,NA
"28",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",4,NA
"29",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"30",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"31",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",3,NA
"32",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"33",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",5,NA
"34",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"35",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",2,NA
"36",1280,1998-01-30,0000-01-01 13:00:00,"STTD","A0D82120386","RSTR","RSTR5",1,NA,"Check",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","tshawytscha","Oncorhynchus",5,NA
"37",2063,1998-01-30,0000-01-01 13:50:00,"YB","A0D83391379","BSEIN","SEIN50",1,NA,NA,NA,NA,8,15,NA,NA,NA,"PAV",NA,NA,"TFS","petenense","Dorosoma",3,NA
"38",2063,1998-01-30,0000-01-01 13:50:00,"YB","A0D83391379","BSEIN","SEIN50",1,NA,NA,NA,NA,8,15,NA,NA,NA,"PAV",NA,NA,"MSS","beryllina","Menidia",2,NA
"39",2063,1998-01-30,0000-01-01 13:50:00,"YB","A0D83391379","BSEIN","SEIN50",1,NA,NA,NA,NA,8,15,NA,NA,NA,"PAV",NA,NA,"MSS","beryllina","Menidia",4,NA
"40",2063,1998-01-30,0000-01-01 13:50:00,"YB","A0D83391379","BSEIN","SEIN50",1,NA,NA,NA,NA,8,15,NA,NA,NA,"PAV",NA,NA,"MSS","beryllina","Menidia",2,NA
