"","SampleID","SampleDate","SampleTime","StationCode","SamplingArea","SampleMethod","GearID","GearConditionCode","VegetationRank","TrapStatus","Rev.Counter","Region","SeineLength","SeineWidth","SeineDepth","VolumeSeined","HabitatType","SubstrateCode","FieldComments","DataCorrectionComments","OrganismCode","LowestTaxon","Parent","Count","FishIDComments"
"1",2063,"01/30/1998","13:50:00","YB","A0D83391379","BSEIN","SEIN50","1","","","","","8","15","","","","PAV","","","MSS","beryllina","Menidia","17",""
"2",1281,"02/01/1998","09:30:00","STTD","A0D82120386","RSTR","RSTR5","1","","Check","","","","","","","","","","","TFS","petenense","Dorosoma","1",""
"3",1281,"02/01/1998","09:30:00","STTD","A0D82120386","RSTR","RSTR5","1","","Check","","","","","","","","","","","CHN","tshawytscha","Oncorhynchus","246",""
"4",1281,"02/01/1998","09:30:00","STTD","A0D82120386","RSTR","RSTR5","1","","Check","","","","","","","","","","","BKB","melas","Ameiurus","1",""
"5",1281,"02/01/1998","09:30:00","STTD","A0D82120386","RSTR","RSTR5","1","","Check","","","","","","","","","","","SHM","bifasciatus","Tridentiger","1",""
"6",1282,"02/02/1998","12:45:00","STTD","A0D82120386","RSTR","RSTR5","1","","Check","","","","","","","","","","","TFS","petenense","Dorosoma","7",""
"7",1282,"02/02/1998","12:45:00","STTD","A0D82120386","RSTR","RSTR5","1","","Check","","","","","","","","","","","CHN","tshawytscha","Oncorhynchus","75",""
"8",43,"02/02/1998","14:00:00","AL1","A0D83271352","BSEIN","SEIN50","2","","","","","7","7","","","","MUD","","","BGS","macrochirus","Lepomis","8",""
"9",44,"02/02/1998","14:10:00","AL1","A0D83271352","BSEIN","SEIN50","1","","","","","6","9","","","","MUD","","","BGS","macrochirus","Lepomis","5",""
"10",1283,"02/03/1998","13:30:00","STTD","A0D82120386","RSTR","RSTR5","1","","Check","","","","","","","","","","","CHN","tshawytscha","Oncorhynchus","118",""
"11",1284,"02/04/1998","11:00:00","STTD","A0D82120386","RSTR","RSTR5","1","","Check","","","","","","","","","","","CHN","tshawytscha","Oncorhynchus","128",""
"12",45,"02/04/1998","15:30:00","AL1","A0D83271352","BSEIN","SEIN50","1","","","","","7","3","","","","MUD","","","BGS","macrochirus","Lepomis","6",""
"13",1285,"02/05/1998","09:40:00","STTD","A0D82120386","RSTR","RSTR5","3","","Check","","","","","","","","","","","BGS","macrochirus","Lepomis","3",""
"14",1285,"02/05/1998","09:40:00","STTD","A0D82120386","RSTR","RSTR5","3","","Check","","","","","","","","","","","SAPM","grandis","Ptychocheilus","2",""
"15",1285,"02/05/1998","09:40:00","STTD","A0D82120386","RSTR","RSTR5","3","","Check","","","","","","","","","","","MSS","beryllina","Menidia","4",""
"16",1285,"02/05/1998","09:40:00","STTD","A0D82120386","RSTR","RSTR5","3","","Check","","","","","","","","","","","TFS","petenense","Dorosoma","7",""
"17",1285,"02/05/1998","09:40:00","STTD","A0D82120386","RSTR","RSTR5","3","","Check","","","","","","","","","","","CHN","tshawytscha","Oncorhynchus","130",""
"18",1286,"02/06/1998","10:07:00","STTD","A0D82120386","RSTR","RSTR5","1","","Check","","","","","","","","","","","CHN","tshawytscha","Oncorhynchus","134",""
"19",1288,"02/10/1998","12:30:00","STTD","A0D82120386","RSTR","RSTR5","1","","Check","","","","","","","","","","","CHN","tshawytscha","Oncorhynchus","71",""
"20",1289,"02/11/1998","10:35:00","STTD","A0D82120386","RSTR","RSTR5","1","","Check","","","","","","","","","","","CHN","tshawytscha","Oncorhynchus","188",""
"21",2075,"02/11/1998","14:30:00","YB","A0D83391379","BSEIN","SEIN50","1","","","","","14","3","","","","PAV","","","TFS","petenense","Dorosoma","3",""
"22",2075,"02/11/1998","14:30:00","YB","A0D83391379","BSEIN","SEIN50","1","","","","","14","3","","","","PAV","","","MSS","beryllina","Menidia","15",""
"23",2077,"02/13/1998","10:04:00","YB","A0D83391379","PSEIN","PSEIN100","1","","","","","","","","","AG","","","","TFS","petenense","Dorosoma","28",""
"24",2078,"02/13/1998","10:20:00","YB","A0D83391379","PSEIN","PSEIN100","1","","","","","","","","","AG","","","","TFS","petenense","Dorosoma","26",""
"25",1290,"02/13/1998","12:10:00","STTD","A0D82120386","RSTR","RSTR5","1","","Check","","","","","","","","","","","SAPM","grandis","Ptychocheilus","13",""
"26",1290,"02/13/1998","12:10:00","STTD","A0D82120386","RSTR","RSTR5","1","","Check","","","","","","","","","","","CHN","tshawytscha","Oncorhynchus","265",""
"27",1290,"02/13/1998","12:10:00","STTD","A0D82120386","RSTR","RSTR5","1","","Check","","","","","","","","","","","TFS","petenense","Dorosoma","3",""
"28",2082,"02/13/1998","14:45:00","YB","A0D83391379","PSEIN","PSEIN100","1","","","","","","","","","AG","","","","TFS","petenense","Dorosoma","36",""
"29",2083,"02/13/1998","14:55:00","YB","A0D83391379","PSEIN","PSEIN100","1","","","","","","","","","AG","","","","TFS","petenense","Dorosoma","20",""
"30",1291,"02/15/1998","10:45:00","STTD","A0D82120386","RSTR","RSTR5","1","","Check","","","","","","","","","","","CHN","tshawytscha","Oncorhynchus","462",""
"31",2086,"02/17/1998","09:16:00","YB","A0D83391379","PSEIN","PSEIN100","1","","","","","","","","","NV","","","","TFS","petenense","Dorosoma","3",""
"32",1292,"02/17/1998","11:25:00","STTD","A0D82120386","RSTR","RSTR5","1","","Pull","","","","","","","","","","","CHN","tshawytscha","Oncorhynchus","199",""
"33",1191,"02/18/1998","15:15:00","BL4","A0D82131385","BSEIN","SEIN50","1","","","","","","15","","","","MUD","","","BGS","macrochirus","Lepomis","13",""
"34",1294,"02/22/1998","09:20:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","BGS","macrochirus","Lepomis","21",""
"35",1294,"02/22/1998","09:20:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","CHN","tshawytscha","Oncorhynchus","174",""
"36",1294,"02/22/1998","09:20:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","TFS","petenense","Dorosoma","41",""
"37",1294,"02/22/1998","09:20:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","SAPM","grandis","Ptychocheilus","40",""
"38",1294,"02/22/1998","09:20:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","MSS","beryllina","Menidia","11",""
"39",1295,"02/23/1998","12:23:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","TFS","petenense","Dorosoma","26",""
"40",1295,"02/23/1998","12:23:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","SAPM","grandis","Ptychocheilus","20",""
"41",1295,"02/23/1998","12:23:00","STTD","A0D82120386","RSTR","RSTR8","1","","Check","","","","","","","","","","","CHN","tshawytscha","Oncorhynchus","118",""
