"","SampleID","OrganismCode","ForkLength","TotalLength","Weight","Sex","Spawning.Condition","MarkCode","Race","StageCode","Dead","CWTSample","Genetic.Sample","Direct.Take","Indirect.Take","FishTagID","Count","Plus.Count","FishIDComments","SalmGenRowID","GeneticID1","Prob1","GeneticID2","Prob2","SalmComments","SmeltGenRowID","GeneticID","numChrom","V.shape","SmeltComments","qDS","qLFS","qWAG","GenotypeRun"
"1",6726,"CHN",42,NA,0.2426,"","","None","F","n/p","No",FALSE,TRUE,FALSE,TRUE,"2016Ad_minus-F_001",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",6814,"CHN",54,NA,1.71,"","","A","F","n/p","No",TRUE,TRUE,TRUE,FALSE,"2016Ad_minus-F_006",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",6814,"CHN",56,NA,1.95,"","","A","F","n/p","No",TRUE,TRUE,TRUE,FALSE,"2016Ad_minus-F_007",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",6814,"CHN",57,NA,1.82,"","","A","F","n/p","No",FALSE,TRUE,TRUE,FALSE,"2016Ad_minus-F_008",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",6814,"CHN",55,NA,1.72,"","","A","F","n/p","No",FALSE,TRUE,TRUE,FALSE,"2016Ad_minus-F_009",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6814,"CHN",53,NA,1.54,"","","A","F","n/p","No",FALSE,TRUE,TRUE,FALSE,"2016Ad_minus-F_010",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",6814,"CHN",53,NA,1.47,"","","A","F","n/p","No",TRUE,TRUE,TRUE,FALSE,"2016Ad_minus-F_011",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",6814,"CHN",58,NA,1.89,"","","A","F","n/p","No",FALSE,TRUE,TRUE,FALSE,"2016Ad_minus-F_012",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",6814,"CHN",62,NA,2.08,"","","A","F","n/p","No",TRUE,TRUE,TRUE,FALSE,"2016Ad_minus-F_013",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",6814,"CHN",58,NA,1.89,"","","A","F","n/p","No",TRUE,TRUE,TRUE,FALSE,"2016Ad_minus-F_014",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",6814,"CHN",55,NA,1.59,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_015",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",6814,"CHN",54,NA,2.31,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_016",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",6814,"CHN",54,NA,2.24,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_017",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",6814,"CHN",53,NA,1.8,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_018",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",6814,"CHN",59,NA,2.37,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_019",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",6814,"CHN",56,NA,2.2,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_020",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",6814,"CHN",54,NA,2.11,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_021",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",6814,"CHN",56,NA,1.82,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_022",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",6814,"CHN",57,NA,2.11,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_023",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",6814,"CHN",57,NA,1.98,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_024",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",6814,"CHN",54,NA,1.97,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_025",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",6814,"CHN",57,NA,2.11,"","","A","F","n/p","No",FALSE,TRUE,FALSE,TRUE,"2016Ad_minus-F_026",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",6814,"CHN",56,NA,1.91,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_027",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",6814,"CHN",57,NA,2.08,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_028",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",6814,"CHN",52,NA,1.67,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_029",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",6814,"CHN",53,NA,1.77,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_030",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",6814,"CHN",58,NA,2.34,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_031",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",6814,"CHN",55,NA,1.95,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_032",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",6814,"CHN",54,NA,1.74,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_033",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",6814,"CHN",58,NA,2.16,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_034",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",6814,"CHN",51,NA,1.51,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_035",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",6814,"CHN",57,NA,1.99,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_036",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",6814,"CHN",55,NA,1.98,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_037",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",6814,"CHN",52,NA,1.7,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_038",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",6814,"CHN",56,NA,1.8,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_039",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",6814,"CHN",57,NA,1.93,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_040",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",6814,"CHN",54,NA,1.85,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_041",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",6814,"CHN",57,NA,1.94,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_042",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",6814,"CHN",53,NA,1.95,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_043",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",6814,"CHN",52,NA,1.57,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_044",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",6814,"CHN",48,NA,1.18,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_045",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
