ACT_UNIT_NAME,SAM_ACT_CODE_OWNER,RUN_CODE,RUN_USER_RUN_NUMBER,RUN_NAME,SAM_USER_STATION_NUM,QST_NUMBER,QST_NAME,QST_FULL_STATION_NAME,STY_DESCRIPTION,KIWQM_SAMPLING_NUMBER,SAM_CODE,SAM_SAM_CODE_PARENT,KIWQM_REPLICATE_NUMBER,SAM_COLLECTION_DATE
Aquatic Ecology,330,EA0511B1189,EA0511B1189,Cache Slough Study,B9D81751442,B9D81751442,CACHE SLU BL HASTING,CACHE SLU BL HASTINGS CUT        ,Broad Water Body,EA0511B7394,EA0511B7394,0,,5/5/2011 12:15
Aquatic Ecology,330,EA0511B1189,EA0511B1189,Cache Slough Study,B9D81751442,B9D81751442,CACHE SLU BL HASTING,CACHE SLU BL HASTINGS CUT        ,Broad Water Body,EA0511B7395,EA0511B7395,0,,5/5/2011 12:45
Aquatic Ecology,330,EA0511B1189,EA0511B1189,Cache Slough Study,B9D81121396,B9D81121396,CACHE SLU A RYER ISL,CACHE SLU A RYER ISL FERRY       ,Broad Water Body,EA0511B7396,EA0511B7396,0,,5/5/2011 16:15
Aquatic Ecology,330,EA0511B1189,EA0511B1189,Cache Slough Study,B9D81751442,B9D81751442,CACHE SLU BL HASTING,CACHE SLU BL HASTINGS CUT        ,Broad Water Body,EA0511B7397,EA0511B7397,0,,5/5/2011 16:30
Aquatic Ecology,330,EA0611B1255,EA0611B1255,Cache Slough Study,B9D81751442,B9D81751442,CACHE SLU BL HASTING,CACHE SLU BL HASTINGS CUT        ,Broad Water Body,EA0611B7732,EA0611B7732,0,,6/16/2011 9:45
Aquatic Ecology,330,EA0611B1255,EA0611B1255,Cache Slough Study,B9D81751442,B9D81751442,CACHE SLU BL HASTING,CACHE SLU BL HASTINGS CUT        ,Broad Water Body,EA0611B7733,EA0611B7733,0,,6/16/2011 9:30
Aquatic Ecology,330,EA0611B1255,EA0611B1255,Cache Slough Study,B9D81121396,B9D81121396,CACHE SLU A RYER ISL,CACHE SLU A RYER ISL FERRY       ,Broad Water Body,EA0611B7734,EA0611B7734,0,,6/16/2011 8:45
Aquatic Ecology,330,EA0611B1255,EA0611B1255,Cache Slough Study,B9D81121396,B9D81121396,CACHE SLU A RYER ISL,CACHE SLU A RYER ISL FERRY       ,Broad Water Body,EA0611B7735,EA0611B7735,0,,6/16/2011 9:00
Aquatic Ecology,330,EA0611B1255,EA0611B1255,Cache Slough Study,NONE,(NONE),( None ),( None ),Not Given,EA0611B7736,EA0611B7736,0,,6/29/2011 16:36
Aquatic Ecology,330,EA0611B1255,EA0611B1255,Cache Slough Study,B9D81751442,B9D81751442,CACHE SLU BL HASTING,CACHE SLU BL HASTINGS CUT        ,Broad Water Body,EA0611B7737,EA0611B7737,0,,6/16/2011 12:45
Aquatic Ecology,330,EA0611B1255,EA0611B1255,Cache Slough Study,B9D81751442,B9D81751442,CACHE SLU BL HASTING,CACHE SLU BL HASTINGS CUT        ,Broad Water Body,EA0611B7738,EA0611B7738,0,,6/16/2011 13:00
Aquatic Ecology,330,EA0611B1255,EA0611B1255,Cache Slough Study,B9D81121396,B9D81121396,CACHE SLU A RYER ISL,CACHE SLU A RYER ISL FERRY       ,Broad Water Body,EA0611B7739,EA0611B7739,0,,6/16/2011 13:15
