"","RunCode","RunName","StationNumber","SAM_Code","Datetime","QST_NAME","SamplingDate"
"1","EA0713B0187","YB - Fall Study","A0D84061386","EA0713B1254",2013-07-31 12:28:00,"Toe Drain at Rd. 22",2013-07-31
"2","EA0713B0187","YB - Fall Study","A0D84061386","EA0713B1255",2013-07-31 12:28:00,"Toe Drain at Rd. 22",2013-07-31
"3","EA0713B0187","YB - Fall Study","A0D83441350","EA0713B1256",2013-07-31 05:17:00,"Toe Drain@ I-80",2013-07-31
"4","EA0713B0187","YB - Fall Study","A0D83441350","EA0713B1257",2013-07-31 05:17:00,"Toe Drain@ I-80",2013-07-31
"5","EA0713B0187","YB - Fall Study","B9D82851352","EA0713B1258",2013-07-31 14:15:00,"Toe Drain YB LISBON",2013-07-31
"6","EA0713B0187","YB - Fall Study","B9D82851352","EA0713B1259",2013-07-31 14:15:00,"Toe Drain YB LISBON",2013-07-31
"7","EA0713B0187","YB - Fall Study","A0D82691360","EA0713B1260",2013-07-31 16:07:00,"Toe Drain Bl YWA",2013-07-31
"8","EA0713B0187","YB - Fall Study","A0D82691360","EA0713B1261",2013-07-31 16:07:00,"Toe Drain Bl YWA",2013-07-31
"9","EA0713B0187","YB - Fall Study","A0D82120386","EA0713B1262",2013-07-31 16:23:00,"Toe Drain at STTD",2013-07-31
"10","EA0713B0187","YB - Fall Study","A0D82120386","EA0713B1263",2013-07-31 16:23:00,"Toe Drain at STTD",2013-07-31
"11","EA0713B0187","YB - Fall Study","B9D81651399","EA0713B1264",2013-07-31 12:06:00,"BL5 -Below Toe Drain",2013-07-31
"12","EA0713B0187","YB - Fall Study","B9D81651399","EA0713B1265",2013-07-31 12:06:00,"BL5 -Below Toe Drain",2013-07-31
"13","EA0713B0187","YB - Fall Study","B9D81450411","EA0713B1266",2013-07-31 11:50:00,"Liberty at S End",2013-07-31
"14","EA0713B0187","YB - Fall Study","B9D81450411","EA0713B1267",2013-07-31 11:50:00,"Liberty at S End",2013-07-31
"15","EA0713B0187","YB - Fall Study","B9D81281402","EA0713B1268",2013-07-31 11:31:00,"RYI - Cache Slough",2013-07-31
"16","EA0713B0187","YB - Fall Study","B9D81281402","EA0713B1269",2013-07-31 11:31:00,"RYI - Cache Slough",2013-07-31
"17","EA0713B0187","YB - Fall Study","B9D81040386","EA0713B1270",2013-07-31 11:11:00,"SRV - Vieira's",2013-07-31
"18","EA0713B0187","YB - Fall Study","B9D81040386","EA0713B1271",2013-07-31 11:11:00,"SRV - Vieira's",2013-07-31
