"","ACT_UNIT_NAME","RunCode","StationNumber","StationName","RunName","SAM_Code","Datetime","SampleType","SamplingDate"
"1","Aquatic Ecology","ESF0212B0034","A0L842113852","Knaggs Ranch - Oulet","Yolo Bypass 2012","ESF0212B0324",2012-02-09 10:50:00,"Replicate Sample",2012-02-09
"2","Aquatic Ecology","ESF0212B0034","A0L842113852","Knaggs Ranch - Oulet","Yolo Bypass 2012","ESF0212B0322",2012-02-09 10:50:00,"Normal Sample",2012-02-09
"3","Aquatic Ecology","ESF0212B0034","A0L842113851","Knaggs Ranch - Inlet","Yolo Bypass 2012","ESF0212B0323",2012-02-09 12:00:00,"Replicate Sample",2012-02-09
"4","Aquatic Ecology","ESF0212B0034","A0L842113851","Knaggs Ranch - Inlet","Yolo Bypass 2012","ESF0212B0321",2012-02-09 12:00:00,"Normal Sample",2012-02-09
"5","Aquatic Ecology","ESF0212B0035","A0L842113852","Knaggs Ranch - Oulet","Yolo Bypass 2012","ESF0212B0328",2012-02-16 11:15:00,"Replicate Sample",2012-02-16
"6","Aquatic Ecology","ESF0212B0035","A0L842113852","Knaggs Ranch - Oulet","Yolo Bypass 2012","ESF0212B0326",2012-02-16 11:15:00,"Normal Sample",2012-02-16
"7","Aquatic Ecology","ESF0212B0035","A0L842113851","Knaggs Ranch - Inlet","Yolo Bypass 2012","ESF0212B0327",2012-02-16 12:40:00,"Replicate Sample",2012-02-16
"8","Aquatic Ecology","ESF0212B0035","A0L842113851","Knaggs Ranch - Inlet","Yolo Bypass 2012","ESF0212B0325",2012-02-16 12:40:00,"Normal Sample",2012-02-16
"9","Aquatic Ecology","ESF0212B0037","A0L842113851","Knaggs Ranch - Inlet","Yolo Bypass 2012","ESF0212B0333",2012-02-22 11:20:00,"Normal Sample",2012-02-22
"10","Aquatic Ecology","ESF0212B0037","A0L842113851","Knaggs Ranch - Inlet","Yolo Bypass 2012","ESF0312B0353",2012-02-22 11:20:00,"Replicate Sample",2012-02-22
"11","Aquatic Ecology","ESF0212B0037","A0L842113852","Knaggs Ranch - Oulet","Yolo Bypass 2012","ESF0312B0354",2012-02-22 12:20:00,"Replicate Sample",2012-02-22
"12","Aquatic Ecology","ESF0212B0037","A0L842113852","Knaggs Ranch - Oulet","Yolo Bypass 2012","ESF0212B0334",2012-02-22 12:20:00,"Normal Sample",2012-02-22
"13","Aquatic Ecology","ESF0212B0038","A0L842113852","Knaggs Ranch - Oulet","Yolo Bypass 2012","ESF0212B0338",2012-02-29 11:15:00,"Normal Sample",2012-02-29
"14","Aquatic Ecology","ESF0212B0038","A0L842113852","Knaggs Ranch - Oulet","Yolo Bypass 2012","ESF0312B0350",2012-02-29 11:15:00,"Replicate Sample",2012-02-29
