PhysicalDataID,StationCode,Recorder,Field.Check,Crew,SamplingDate,YSI,SamplingTime,WeatherCode,Tide,Microcyst,WaterTemperature,Secchi,EC,SpCnd,pH,DO,Turb,LightData,DriftData,LarvalData,150_ZoopData,50_ZoopData,ChlData,PhytoData,NutrData,EnteredBy,QAQCBy,FieldComments_WQ,DataCorrectionComments,Datetime.x,Year,Month,SurfaceIRR,Depth1,SubSurfaceIRR1,Depth2,SubSurfaceIRR2,Depth3,SubSurfaceIRR3,Depth4,SubSurfaceIRR4,FieldComments_Light,StationNumber,ACT_UNIT_NAME,RunCode,StationName,RunName,SAM_Code,Datetime.y,SampleType,
733,LIS,,FALSE,,8/6/2013,NA,12:04:00,CLD,,NA,21.79,0.16,220,NA,8.64,8.4,132.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,jshen,hcarlson,,,8/6/2013 12:04,2013,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B9D82851352,Aquatic Ecology,EA0813B0197,Toe Drain YB LISBON,YB - Fall Study,EA0813B1326,8/6/2013 12:04,Normal Sample,
733,LIS,,FALSE,,8/6/2013,NA,12:04:00,CLD,,NA,21.79,0.16,220,NA,8.64,8.4,132.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,jshen,hcarlson,,,8/6/2013 12:04,2013,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B9D82851352,Aquatic Ecology,EA0813B0197,Toe Drain YB LISBON,YB - Fall Study,EA0813B1327,8/6/2013 12:04,"Replicate, Specific Analyte(s)",
714,STTD,,FALSE,JF ML BH,8/6/2013,NA,11:20:00,CLR,,NA,21.6,0.19,186,NA,8,8.55,77.1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,jfrantzich,hcarlson,,,8/6/2013 11:20,2013,8,2182,0.02,1628,0.18,1158,0.25,553,0.74,21.25,,A0D82120386,Aquatic Ecology,EA0813B0197,Toe Drain at STTD,YB - Fall Study,EA0813B1330,8/6/2013 11:15,Normal Sample,
714,STTD,,FALSE,JF ML BH,8/6/2013,NA,11:20:00,CLR,,NA,21.6,0.19,186,NA,8,8.55,77.1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,jfrantzich,hcarlson,,,8/6/2013 11:20,2013,8,2182,0.02,1628,0.18,1158,0.25,553,0.74,21.25,,A0D82120386,Aquatic Ecology,EA0813B0197,Toe Drain at STTD,YB - Fall Study,EA0813B1331,8/6/2013 11:15,"Replicate, Specific Analyte(s)",
734,LIS,,FALSE,,8/15/2013,NA,13:55:00,CLR,,NA,23.8,0.15,313,NA,8.03,7.02,90.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,jshen,,,,8/15/2013 13:55,2013,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B9D82851352,Aquatic Ecology,EA0813B0217,Toe Drain YB LISBON,YB - Fall Study,EA0813B1511,8/15/2013 13:55,Normal Sample,
734,LIS,,FALSE,,8/15/2013,NA,13:55:00,CLR,,NA,23.8,0.15,313,NA,8.03,7.02,90.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,jshen,,,,8/15/2013 13:55,2013,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B9D82851352,Aquatic Ecology,EA0813B0217,Toe Drain YB LISBON,YB - Fall Study,EA0813B1512,8/15/2013 13:55,"Replicate, Specific Analyte(s)",
736,LIS,,FALSE,"JF, JS",9/5/2013,NA,11:54:00,CLR,,NA,21.83,0.24,867,NA,8,6.26,34.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,jshen,ashakya,,,9/5/2013 11:54,2013,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B9D82851352,Aquatic Ecology,EA0913B0247,Toe Drain YB LISBON,YB - Fall Study,EA0913B1798,9/5/2013 11:54,Normal Sample,
736,LIS,,FALSE,"JF, JS",9/5/2013,NA,11:54:00,CLR,,NA,21.83,0.24,867,NA,8,6.26,34.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,jshen,ashakya,,,9/5/2013 11:54,2013,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B9D82851352,Aquatic Ecology,EA0913B0247,Toe Drain YB LISBON,YB - Fall Study,EA0913B1799,9/5/2013 11:54,"Replicate, Specific Analyte(s)",
723,STTD,,FALSE,NI HC,9/5/2013,NA,11:00:00,CLR,,NA,22.3,0.18,771,NA,8.08,8.37,49.4,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,jshen,mogaz,,,9/5/2013 11:00,2013,9,2059,0.06,1534.5,0.17,1029.1,0.32,517.7,0.93,20.56,,A0D82120386,Aquatic Ecology,EA0913B0247,Toe Drain at STTD,YB - Fall Study,EA0913B1802,9/5/2013 11:55,Normal Sample,
723,STTD,,FALSE,NI HC,9/5/2013,NA,11:00:00,CLR,,NA,22.3,0.18,771,NA,8.08,8.37,49.4,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,jshen,mogaz,,,9/5/2013 11:00,2013,9,2059,0.06,1534.5,0.17,1029.1,0.32,517.7,0.93,20.56,,A0D82120386,Aquatic Ecology,EA0913B0247,Toe Drain at STTD,YB - Fall Study,EA0913B1803,9/5/2013 11:55,"Replicate, Specific Analyte(s)",
737,LIS,,FALSE,"JF, HC",9/12/2013,NA,13:49:00,CLR,,NA,22.75,0.26,884,NA,8.06,5.73,40.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,jshen,ashakya,,,9/12/2013 13:49,2013,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B9D82851352,Aquatic Ecology,EA0913B0254,Toe Drain YB LISBON,YB - Fall Study,EA0913B1929,9/12/2013 13:49,Normal Sample,
737,LIS,,FALSE,"JF, HC",9/12/2013,NA,13:49:00,CLR,,NA,22.75,0.26,884,NA,8.06,5.73,40.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,jshen,ashakya,,,9/12/2013 13:49,2013,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B9D82851352,Aquatic Ecology,EA0913B0254,Toe Drain YB LISBON,YB - Fall Study,EA0913B1930,9/12/2013 13:49,"Replicate, Specific Analyte(s)",
738,LIS,,FALSE,"JF, JS",9/17/2013,NA,11:49:00,CLR,,NA,21.09,0.24,867,NA,8.19,6.59,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,jshen,ashakya,Ebb tide. No turbitdity vial collected,,9/17/2013 11:49,2013,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B9D82851352,Aquatic Ecology,EA0913B0265,Toe Drain YB LISBON,YB - Fall Study,EA0913B2054,9/17/2013 11:49,Normal Sample,
738,LIS,,FALSE,"JF, JS",9/17/2013,NA,11:49:00,CLR,,NA,21.09,0.24,867,NA,8.19,6.59,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,jshen,ashakya,Ebb tide. No turbitdity vial collected,,9/17/2013 11:49,2013,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B9D82851352,Aquatic Ecology,EA0913B0265,Toe Drain YB LISBON,YB - Fall Study,EA0913B2055,9/17/2013 11:49,"Replicate, Specific Analyte(s)",
718,STTD,,FALSE,HC NI,9/17/2013,NA,10:41:00,CLR,,NA,21.3,0.2,899,NA,7.88,8.36,64.2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,hcarlson,mogaz,,,9/17/2013 10:41,2013,9,2022,0.07,1514.6,0.15,1011.4,0.29,505.3,0.81,20.52,,A0D82120386,Aquatic Ecology,EA0913B0265,Toe Drain at STTD,YB - Fall Study,EA0913B2058,9/17/2013 11:15,Normal Sample,
739,LIS,,FALSE,"JF, HC",9/23/2013,NA,13:10:00,CLR,,NA,20.74,0.26,894,NA,8.01,6.3,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,jshen,ashakya,Ebb tide. No turbidity.,,9/23/2013 13:10,2013,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B9D82851352,Aquatic Ecology,EA0913B0271,Toe Drain YB LISBON,YB - Fall Study,EA0913B2140,9/23/2013 13:10,Normal Sample,
739,LIS,,FALSE,"JF, HC",9/23/2013,NA,13:10:00,CLR,,NA,20.74,0.26,894,NA,8.01,6.3,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,jshen,ashakya,Ebb tide. No turbidity.,,9/23/2013 13:10,2013,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B9D82851352,Aquatic Ecology,EA0913B0271,Toe Drain YB LISBON,YB - Fall Study,EA0913B2141,9/23/2013 13:10,"Replicate, Specific Analyte(s)",
740,LIS,,FALSE,"JF, JS",9/26/2013,NA,12:20:00,CLR,,NA,18.98,0.22,653,NA,8.08,7.11,47.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,jshen,ashakya,Ebb tide.,,9/26/2013 12:20,2013,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B9D82851352,Aquatic Ecology,EA0913B0276,Toe Drain YB LISBON,YB - Fall Study,EA0913B2230,9/26/2013 12:20,Normal Sample,
