,ACT_UNIT_NAME,RunCode,StationNumber,StationName,RunName,SAM_Code,Datetime,SampleType,SamplingDate,Action
21,Aquatic Ecology,ESH0812B0004,A0D82120386,Toe Drain at STTD,Yolo Bypass 2012,ESH0812B0016,8/7/2012 10:07,Replicate Sample,8/7/2012,Enter NDFA 2012 in database
22,Aquatic Ecology,ESH0812B0004,A0D82120386,Toe Drain at STTD,Yolo Bypass 2012,ESH0812B0014,8/7/2012 10:07,Normal Sample,8/7/2012,Enter NDFA 2012 in database
25,Aquatic Ecology,ESH0812B0008,A0D83441350,Toe Drain@ I-80,Yolo Bypass 2012,ESH0812B0031,8/31/2012 14:54,Normal Sample,8/31/2012,Enter NDFA 2012 in database
26,Aquatic Ecology,ESH0812B0008,B9D82851352,Toe Drain YB LISBON,Yolo Bypass 2012,ESH0812B0037,8/31/2012 15:30,Normal Sample,8/31/2012,Enter NDFA 2012 in database
27,Aquatic Ecology,ESH0812B0008,B9D82851352,Toe Drain YB LISBON,Yolo Bypass 2012,ESH0812B0039,8/31/2012 15:30,Replicate Sample,8/31/2012,Enter NDFA 2012 in database
29,Aquatic Ecology,ESH0812B0008,A0D82120386,Toe Drain at STTD,Yolo Bypass 2012,ESH0812B0032,8/31/2012 16:23,Normal Sample,8/31/2012,Enter NDFA 2012 in database
30,Aquatic Ecology,ESF0912B0001,B9D80951412,D24A,Yolo Bypass 2012,ESF0912B0021,9/4/2012 12:11,Normal Sample,9/4/2012,Enter NDFA 2012 in database
31,Aquatic Ecology,ESF0912B0001,A8200000,Ryer Island,Yolo Bypass 2012,ESF0912B0020,9/4/2012 12:24,Normal Sample,9/4/2012,Enter NDFA 2012 in database
32,Aquatic Ecology,ESF0912B0001,B9D81431410,Liberty Is @ Base,Yolo Bypass 2012,ESF0912B0006,9/4/2012 12:45,Normal Sample,9/4/2012,Enter NDFA 2012 in database
33,Aquatic Ecology,ESF0912B0001,B9D81651399,BL5 -Below Toe Drain,Yolo Bypass 2012,ESF0912B0007,9/4/2012 12:56,Normal Sample,9/4/2012,Enter NDFA 2012 in database
34,Aquatic Ecology,ESF0912B0001,B9D81651399,BL5 -Below Toe Drain,Yolo Bypass 2012,ESF0912B0010,9/4/2012 12:56,Replicate Sample,9/4/2012,Enter NDFA 2012 in database
35,Aquatic Ecology,ESF0912B0001,A0D82120386,Toe Drain at STTD,Yolo Bypass 2012,ESF0912B0008,9/4/2012 13:15,Normal Sample,9/4/2012,Enter NDFA 2012 in database
38,Aquatic Ecology,ESF0912B0001,A0D83441350,Toe Drain@ I-80,Yolo Bypass 2012,ESF0912B0003,9/4/2012 17:34,Normal Sample,9/4/2012,Enter NDFA 2012 in database
39,Aquatic Ecology,ESF0912B0001,B9D82851352,Toe Drain YB LISBON,Yolo Bypass 2012,ESF0912B0004,9/4/2012 18:00,Normal Sample,9/4/2012,Enter NDFA 2012 in database
41,Aquatic Ecology,ESF0912B0003,B9D80951412,D24A,Yolo Bypass 2012,ESF0912B0022,9/7/2012 8:15,Normal Sample,9/7/2012,Enter NDFA 2012 in database
43,Aquatic Ecology,ESF0912B0003,A8200000,Ryer Island,Yolo Bypass 2012,ESF0912B0024,9/7/2012 8:43,Normal Sample,9/7/2012,Enter NDFA 2012 in database
44,Aquatic Ecology,ESF0912B0003,B9D81431410,Liberty Is @ Base,Yolo Bypass 2012,ESF0912B0025,9/7/2012 8:55,Normal Sample,9/7/2012,Enter NDFA 2012 in database
45,Aquatic Ecology,ESF0912B0003,B9D81651399,BL5 -Below Toe Drain,Yolo Bypass 2012,ESF0912B0030,9/7/2012 9:15,Normal Sample,9/7/2012,Enter NDFA 2012 in database
46,Aquatic Ecology,ESF0912B0003,A0D82120386,Toe Drain at STTD,Yolo Bypass 2012,ESF0912B0031,9/7/2012 9:30,Normal Sample,9/7/2012,Enter NDFA 2012 in database
48,Aquatic Ecology,ESF0912B0003,B9D82851352,Toe Drain YB LISBON,Yolo Bypass 2012,ESF0912B0037,9/7/2012 9:55,Replicate Sample,9/7/2012,Enter NDFA 2012 in database
49,Aquatic Ecology,ESF0912B0003,B9D82851352,Toe Drain YB LISBON,Yolo Bypass 2012,ESF0912B0033,9/7/2012 9:55,Normal Sample,9/7/2012,Enter NDFA 2012 in database
50,Aquatic Ecology,ESF0912B0003,A0D83441350,Toe Drain@ I-80,Yolo Bypass 2012,ESF0912B0034,9/7/2012 15:20,Normal Sample,9/7/2012,Enter NDFA 2012 in database
53,Aquatic Ecology,ESF0912B0005,B9D80951412,D24A,Yolo Bypass 2012,ESF0912B0049,9/11/2012 8:55,Replicate Sample,9/11/2012,Enter NDFA 2012 in database
54,Aquatic Ecology,ESF0912B0005,B9D80951412,D24A,Yolo Bypass 2012,ESF0912B0038,9/11/2012 8:55,Normal Sample,9/11/2012,Enter NDFA 2012 in database
56,Aquatic Ecology,ESF0912B0005,A8200000,Ryer Island,Yolo Bypass 2012,ESF0912B0040,9/11/2012 9:18,Normal Sample,9/11/2012,Enter NDFA 2012 in database
57,Aquatic Ecology,ESF0912B0005,B9D81431410,Liberty Is @ Base,Yolo Bypass 2012,ESF0912B0041,9/11/2012 9:25,Normal Sample,9/11/2012,Enter NDFA 2012 in database
58,Aquatic Ecology,ESF0912B0005,B9D81651399,BL5 -Below Toe Drain,Yolo Bypass 2012,ESF0912B0042,9/11/2012 9:40,Normal Sample,9/11/2012,Enter NDFA 2012 in database
59,Aquatic Ecology,ESF0912B0005,A0D82120386,Toe Drain at STTD,Yolo Bypass 2012,ESF0912B0043,9/11/2012 9:55,Normal Sample,9/11/2012,Enter NDFA 2012 in database
61,Aquatic Ecology,ESF0912B0005,B9D82851352,Toe Drain YB LISBON,Yolo Bypass 2012,ESF0912B0045,9/11/2012 10:30,Normal Sample,9/11/2012,Enter NDFA 2012 in database
62,Aquatic Ecology,ESF0912B0005,A0D83441350,Toe Drain@ I-80,Yolo Bypass 2012,ESF0912B0046,9/11/2012 14:30,Normal Sample,9/11/2012,Enter NDFA 2012 in database
65,Aquatic Ecology,ESF0912B0007,B9D80951412,D24A,Yolo Bypass - Fall Study,ESF0912B0062,9/14/2012 8:03,Normal Sample,9/14/2012,Enter NDFA 2012 in database
67,Aquatic Ecology,ESF0912B0007,A8200000,Ryer Island,Yolo Bypass - Fall Study,ESF0912B0064,9/14/2012 8:22,Normal Sample,9/14/2012,Enter NDFA 2012 in database
68,Aquatic Ecology,ESF0912B0007,B9D81431410,Liberty Is @ Base,Yolo Bypass - Fall Study,ESF0912B0065,9/14/2012 8:28,Normal Sample,9/14/2012,Enter NDFA 2012 in database
69,Aquatic Ecology,ESF0912B0007,B9D81651399,BL5 -Below Toe Drain,Yolo Bypass - Fall Study,ESF0912B0066,9/14/2012 8:40,Normal Sample,9/14/2012,Enter NDFA 2012 in database
70,Aquatic Ecology,ESF0912B0007,A0D82120386,Toe Drain at STTD,Yolo Bypass - Fall Study,ESF0912B0067,9/14/2012 8:53,Normal Sample,9/14/2012,Enter NDFA 2012 in database
72,Aquatic Ecology,ESF0912B0007,B9D82851352,Toe Drain YB LISBON,Yolo Bypass - Fall Study,ESF0912B0069,9/14/2012 9:25,Normal Sample,9/14/2012,Enter NDFA 2012 in database
73,Aquatic Ecology,ESF0912B0007,A0D83441350,Toe Drain@ I-80,Yolo Bypass - Fall Study,ESF0912B0073,9/14/2012 16:10,Replicate Sample,9/14/2012,Enter NDFA 2012 in database
74,Aquatic Ecology,ESF0912B0007,A0D83441350,Toe Drain@ I-80,Yolo Bypass - Fall Study,ESF0912B0072,9/14/2012 16:10,Normal Sample,9/14/2012,Enter NDFA 2012 in database
77,Aquatic Ecology,ESF0912B0008,B9D80951412,D24A,Yolo Bypass - Fall Study,ESF0912B0074,9/17/2012 9:01,Normal Sample,9/17/2012,Enter NDFA 2012 in database
79,Aquatic Ecology,ESF0912B0008,A8200000,Ryer Island,Yolo Bypass - Fall Study,ESF0912B0076,9/17/2012 9:25,Normal Sample,9/17/2012,Enter NDFA 2012 in database
